title,summary,link,score,innovation,newness,potential,clarity,relevance
CABINET: Content Relevance based Noise Reduction for Table Question Answering,"Table understanding capability of Large Language Models (LLMs) has been
extensively studied through the task of question-answering (QA) over tables.
Typically, only a small part of the whole table is relevant to derive the
answer for a given question. The irrelevant parts act as noise and are
distracting information, resulting in sub-optimal performance due to the
vulnerability of LLMs to noise. To mitigate this, we propose CABINET (Content
RelevAnce-Based NoIse ReductioN for TablE QuesTion-Answering) - a framework to
enable LLMs to focus on relevant tabular data by suppressing extraneous
information. CABINET comprises an Unsupervised Relevance Scorer (URS), trained
differentially with the QA LLM, that weighs the table content based on its
relevance to the input question before feeding it to the question-answering LLM
(QA LLM). To further aid the relevance scorer, CABINET employs a weakly
supervised module that generates a parsing statement describing the criteria of
rows and columns relevant to the question and highlights the content of
corresponding table cells. CABINET significantly outperforms various tabular
LLM baselines, as well as GPT3-based in-context learning methods, is more
robust to noise, maintains outperformance on tables of varying sizes, and
establishes new SoTA performance on WikiTQ, FeTaQA, and WikiSQL datasets. We
release our code and datasets at https://github.com/Sohanpatnaik106/CABINET_QA.",http://arxiv.org/abs/2402.01155v3,95,20,19,19,18,19
Enhancing Multi-Criteria Decision Analysis with AI: Integrating Analytic Hierarchy Process and GPT-4 for Automated Decision Support,"Our study presents a new framework that incorporates the Analytic Hierarchy
Process (AHP) and Generative Pre-trained Transformer 4 (GPT-4) large language
model (LLM), bringing novel approaches to cybersecurity Multiple-criteria
Decision Making (MCDA). By utilizing the capabilities of GPT-4 autonomous
agents as virtual experts, we automate the decision-making process, enhancing
both efficiency and reliability. This new approach focuses on leveraging LLMs
for sophisticated decision analysis, highlighting the synergy between
traditional decision-making models and cutting-edge AI technologies. Our
innovative methodology demonstrates significant advancements in using AI-driven
agents for complex decision-making scenarios, highlighting the importance of AI
in strategic cybersecurity applications. The findings reveal the transformative
potential of combining AHP and LLMs, establishing a new paradigm for
intelligent decision support systems in cybersecurity and beyond.",http://arxiv.org/abs/2402.07404v1,95,18,20,20,19,18
"APALU: A Trainable, Adaptive Activation Function for Deep Learning Networks","Activation function is a pivotal component of deep learning, facilitating the
extraction of intricate data patterns. While classical activation functions
like ReLU and its variants are extensively utilized, their static nature and
simplicity, despite being advantageous, often limit their effectiveness in
specialized tasks. The trainable activation functions also struggle sometimes
to adapt to the unique characteristics of the data. Addressing these
limitations, we introduce a novel trainable activation function, adaptive
piecewise approximated activation linear unit (APALU), to enhance the learning
performance of deep learning across a broad range of tasks. It presents a
unique set of features that enable it to maintain stability and efficiency in
the learning process while adapting to complex data representations.
Experiments reveal significant improvements over widely used activation
functions for different tasks. In image classification, APALU increases
MobileNet and GoogleNet accuracy by 0.37% and 0.04%, respectively, on the
CIFAR10 dataset. In anomaly detection, it improves the average area under the
curve of One-CLASS Deep SVDD by 0.8% on the MNIST dataset, 1.81% and 1.11%
improvements with DifferNet, and knowledge distillation, respectively, on the
MVTech dataset. Notably, APALU achieves 100% accuracy on a sign language
recognition task with a limited dataset. For regression tasks, APALU enhances
the performance of deep neural networks and recurrent neural networks on
different datasets. These improvements highlight the robustness and
adaptability of APALU across diverse deep-learning applications.",http://arxiv.org/abs/2402.08244v1,95,20,20,20,17,18
You've Got to Feel It To Believe It: Multi-Modal Bayesian Inference for Semantic and Property Prediction,"Robots must be able to understand their surroundings to perform complex tasks
in challenging environments and many of these complex tasks require estimates
of physical properties such as friction or weight. Estimating such properties
using learning is challenging due to the large amounts of labelled data
required for training and the difficulty of updating these learned models
online at run time. To overcome these challenges, this paper introduces a
novel, multi-modal approach for representing semantic predictions and physical
property estimates jointly in a probabilistic manner. By using conjugate pairs,
the proposed method enables closed-form Bayesian updates given visual and
tactile measurements without requiring additional training data. The efficacy
of the proposed algorithm is demonstrated through several hardware experiments.
In particular, this paper illustrates that by conditioning semantic
classifications on physical properties, the proposed method quantitatively
outperforms state-of-the-art semantic classification methods that rely on
vision alone. To further illustrate its utility, the proposed method is used in
several applications including to represent affordance-based properties
probabilistically and a challenging terrain traversal task using a legged
robot. In the latter task, the proposed method represents the coefficient of
friction of the terrain probabilistically, which enables the use of an on-line
risk-aware planner that switches the legged robot from a dynamic gait to a
static, stable gait when the expected value of the coefficient of friction
falls below a given threshold. Videos of these case studies are presented in
the multimedia attachment. The proposed framework includes an open-source C++
and ROS interface.",http://arxiv.org/abs/2402.05872v2,95,20,20,20,17,18
Pixel Sentence Representation Learning,"Pretrained language models are long known to be subpar in capturing sentence
and document-level semantics. Though heavily investigated, transferring
perturbation-based methods from unsupervised visual representation learning to
NLP remains an unsolved problem. This is largely due to the discreteness of
subword units brought by tokenization of language models, limiting small
perturbations of inputs to form semantics-preserved positive pairs. In this
work, we conceptualize the learning of sentence-level textual semantics as a
visual representation learning process. Drawing from cognitive and linguistic
sciences, we introduce an unsupervised visual sentence representation learning
framework, employing visually-grounded text perturbation methods like typos and
word order shuffling, resonating with human cognitive patterns, and enabling
perturbation to texts to be perceived as continuous. Our approach is further
bolstered by large-scale unsupervised topical alignment training and natural
language inference supervision, achieving comparable performance in semantic
textual similarity (STS) to existing state-of-the-art NLP methods.
Additionally, we unveil our method's inherent zero-shot cross-lingual
transferability and a unique leapfrogging pattern across languages during
iterative training. To our knowledge, this is the first representation learning
method devoid of traditional language models for understanding sentence and
document semantics, marking a stride closer to human-like textual
comprehension. Our code is available at
https://github.com/gowitheflow-1998/Pixel-Linguist",http://arxiv.org/abs/2402.08183v1,95,20,20,20,18,17
Extensible Multi-Granularity Fusion Network for Aspect-based Sentiment Analysis,"Aspect-based Sentiment Analysis (ABSA) evaluates sentiment expressions within
a text to comprehend sentiment information. Previous studies integrated
external knowledge, such as knowledge graphs, to enhance the semantic features
in ABSA models. Recent research has examined the use of Graph Neural Networks
(GNNs) on dependency and constituent trees for syntactic analysis. With the
ongoing development of ABSA, more innovative linguistic and structural features
are being incorporated (e.g. latent graph), but this also introduces complexity
and confusion. As of now, a scalable framework for integrating diverse
linguistic and structural features into ABSA does not exist. This paper
presents the Extensible Multi-Granularity Fusion (EMGF) network, which
integrates information from dependency and constituent syntactic, attention
semantic , and external knowledge graphs. EMGF, equipped with multi-anchor
triplet learning and orthogonal projection, efficiently harnesses the combined
potential of each granularity feature and their synergistic interactions,
resulting in a cumulative effect without additional computational expenses.
Experimental findings on SemEval 2014 and Twitter datasets confirm EMGF's
superiority over existing ABSA methods.",http://arxiv.org/abs/2402.07787v2,95,20,20,18,18,19
CATO: End-to-End Optimization of ML-Based Traffic Analysis Pipelines,"Machine learning has shown tremendous potential for improving the
capabilities of network traffic analysis applications, often outperforming
simpler rule-based heuristics. However, ML-based solutions remain difficult to
deploy in practice. Many existing approaches only optimize the predictive
performance of their models, overlooking the practical challenges of running
them against network traffic in real time. This is especially problematic in
the domain of traffic analysis, where the efficiency of the serving pipeline is
a critical factor in determining the usability of a model. In this work, we
introduce CATO, a framework that addresses this problem by jointly optimizing
the predictive performance and the associated systems costs of the serving
pipeline. CATO leverages recent advances in multi-objective Bayesian
optimization to efficiently identify Pareto-optimal configurations, and
automatically compiles end-to-end optimized serving pipelines that can be
deployed in real networks. Our evaluations show that compared to popular
feature optimization techniques, CATO can provide up to 3600x lower inference
latency and 3.7x higher zero-loss throughput while simultaneously achieving
better model performance.",http://arxiv.org/abs/2402.06099v1,95,19,20,19,19,18
Toward Scalable Generative AI via Mixture of Experts in Mobile Edge Networks,"The advancement of generative artificial intelligence (GAI) has driven
revolutionary applications like ChatGPT. The widespread of these applications
relies on the mixture of experts (MoE), which contains multiple experts and
selectively engages them for each task to lower operation costs while
maintaining performance. Despite MoE, GAI faces challenges in resource
consumption when deployed on user devices. This paper proposes mobile edge
networks supported MoE-based GAI. We first review the MoE from traditional AI
and GAI perspectives, including structure, principles, and applications. We
then propose a framework that transfers subtasks to devices in mobile edge
networks, aiding GAI model operation on user devices. We discuss challenges in
this process and introduce a deep reinforcement learning based algorithm to
select edge devices for subtask execution. Experimental results will show that
our framework not only facilitates GAI's deployment on resource-limited devices
but also generates higher-quality content compared to methods without edge
network support.",http://arxiv.org/abs/2402.06942v1,95,20,20,20,18,17
Segmentation-free Connectionist Temporal Classification loss based OCR Model for Text Captcha Classification,"Captcha are widely used to secure systems from automatic responses by
distinguishing computer responses from human responses. Text, audio, video,
picture picture-based Optical Character Recognition (OCR) are used for creating
captcha. Text-based OCR captcha are the most often used captcha which faces
issues namely, complex and distorted contents. There are attempts to build
captcha detection and classification-based systems using machine learning and
neural networks, which need to be tuned for accuracy. The existing systems face
challenges in the recognition of distorted characters, handling variable-length
captcha and finding sequential dependencies in captcha. In this work, we
propose a segmentation-free OCR model for text captcha classification based on
the connectionist temporal classification loss technique. The proposed model is
trained and tested on a publicly available captcha dataset. The proposed model
gives 99.80\% character level accuracy, while 95\% word level accuracy. The
accuracy of the proposed model is compared with the state-of-the-art models and
proves to be effective. The variable length complex captcha can be thus
processed with the segmentation-free connectionist temporal classification loss
technique with dependencies which will be massively used in securing the
software systems.",http://arxiv.org/abs/2402.05417v1,94,18,20,20,18,18
Towards Generalizability of Multi-Agent Reinforcement Learning in Graphs with Recurrent Message Passing,"Graph-based environments pose unique challenges to multi-agent reinforcement
learning. In decentralized approaches, agents operate within a given graph and
make decisions based on partial or outdated observations. The size of the
observed neighborhood limits the generalizability to different graphs and
affects the reactivity of agents, the quality of the selected actions, and the
communication overhead. This work focuses on generalizability and resolves the
trade-off in observed neighborhood size with a continuous information flow in
the whole graph. We propose a recurrent message-passing model that iterates
with the environment's steps and allows nodes to create a global representation
of the graph by exchanging messages with their neighbors. Agents receive the
resulting learned graph observations based on their location in the graph. Our
approach can be used in a decentralized manner at runtime and in combination
with a reinforcement learning algorithm of choice. We evaluate our method
across 1000 diverse graphs in the context of routing in communication networks
and find that it enables agents to generalize and adapt to changes in the
graph.",http://arxiv.org/abs/2402.05027v2,94,20,18,20,18,18
Version age-based client scheduling policy for federated learning,"Federated Learning (FL) has emerged as a privacy-preserving machine learning
paradigm facilitating collaborative training across multiple clients without
sharing local data. Despite advancements in edge device capabilities,
communication bottlenecks present challenges in aggregating a large number of
clients; only a portion of the clients can update their parameters upon each
global aggregation. This phenomenon introduces the critical challenge of
stragglers in FL and the profound impact of client scheduling policies on
global model convergence and stability. Existing scheduling strategies address
staleness but predominantly focus on either timeliness or content. Motivated by
this, we introduce the novel concept of Version Age of Information (VAoI) to
FL. Unlike traditional Age of Information metrics, VAoI considers both
timeliness and content staleness. Each client's version age is updated
discretely, indicating the freshness of information. VAoI is incorporated into
the client scheduling policy to minimize the average VAoI, mitigating the
impact of outdated local updates and enhancing the stability of FL systems.",http://arxiv.org/abs/2402.05407v1,94,20,20,18,18,18
Measurement Scheduling for ICU Patients with Offline Reinforcement Learning,"Scheduling laboratory tests for ICU patients presents a significant
challenge. Studies show that 20-40% of lab tests ordered in the ICU are
redundant and could be eliminated without compromising patient safety. Prior
work has leveraged offline reinforcement learning (Offline-RL) to find optimal
policies for ordering lab tests based on patient information. However, new ICU
patient datasets have since been released, and various advancements have been
made in Offline-RL methods. In this study, we first introduce a preprocessing
pipeline for the newly-released MIMIC-IV dataset geared toward time-series
tasks. We then explore the efficacy of state-of-the-art Offline-RL methods in
identifying better policies for ICU patient lab test scheduling. Besides
assessing methodological performance, we also discuss the overall suitability
and practicality of using Offline-RL frameworks for scheduling laboratory tests
in ICU settings.",http://arxiv.org/abs/2402.07344v1,94,20,18,20,18,18
A Novel Gaussian Min-Max Theorem and its Applications,"A celebrated result by Gordon allows one to compare the min-max behavior of
two Gaussian processes if certain inequality conditions are met. The
consequences of this result include the Gaussian min-max (GMT) and convex
Gaussian min-max (CGMT) theorems which have had far-reaching implications in
high-dimensional statistics, machine learning, non-smooth optimization, and
signal processing. Both theorems rely on a pair of Gaussian processes, first
identified by Slepian, that satisfy Gordon's comparison inequalities. To date,
no other pair of Gaussian processes satisfying these inequalities has been
discovered. In this paper, we identify such a new pair. The resulting theorems
extend the classical GMT and CGMT Theorems from the case where the underlying
Gaussian matrix in the primary process has iid rows to where it has independent
but non-identically-distributed ones. The new CGMT is applied to the problems
of multi-source Gaussian regression, as well as to binary classification of
general Gaussian mixture models.",http://arxiv.org/abs/2402.07356v1,94,20,18,18,18,20
DiffTOP: Differentiable Trajectory Optimization for Deep Reinforcement and Imitation Learning,"This paper introduces DiffTOP, which utilizes Differentiable Trajectory
OPtimization as the policy representation to generate actions for deep
reinforcement and imitation learning. Trajectory optimization is a powerful and
widely used algorithm in control, parameterized by a cost and a dynamics
function. The key to our approach is to leverage the recent progress in
differentiable trajectory optimization, which enables computing the gradients
of the loss with respect to the parameters of trajectory optimization. As a
result, the cost and dynamics functions of trajectory optimization can be
learned end-to-end. DiffTOP addresses the ``objective mismatch'' issue of prior
model-based RL algorithms, as the dynamics model in DiffTOP is learned to
directly maximize task performance by differentiating the policy gradient loss
through the trajectory optimization process. We further benchmark DiffTOP for
imitation learning on standard robotic manipulation task suites with
high-dimensional sensory observations and compare our method to feed-forward
policy classes as well as Energy-Based Models (EBM) and Diffusion. Across 15
model-based RL tasks and 13 imitation learning tasks with high-dimensional
image and point cloud inputs, DiffTOP outperforms prior state-of-the-art
methods in both domains.",http://arxiv.org/abs/2402.05421v1,94,20,20,18,18,18
Development and validation of an artificial intelligence model to accurately predict spinopelvic parameters,"Objective. Achieving appropriate spinopelvic alignment has been shown to be
associated with improved clinical symptoms. However, measurement of spinopelvic
radiographic parameters is time-intensive and interobserver reliability is a
concern. Automated measurement tools have the promise of rapid and consistent
measurements, but existing tools are still limited by some degree of manual
user-entry requirements. This study presents a novel artificial intelligence
(AI) tool called SpinePose that automatically predicts spinopelvic parameters
with high accuracy without the need for manual entry.
  Methods. SpinePose was trained and validated on 761 sagittal whole-spine
X-rays to predict sagittal vertical axis (SVA), pelvic tilt (PT), pelvic
incidence (PI), sacral slope (SS), lumbar lordosis (LL), T1-pelvic angle
(T1PA), and L1-pelvic angle (L1PA). A separate test set of 40 X-rays was
labeled by 4 reviewers, including fellowship-trained spine surgeons and a
fellowship-trained radiologist with neuroradiology subspecialty certification.
Median errors relative to the most senior reviewer were calculated to determine
model accuracy on test images. Intraclass correlation coefficients (ICC) were
used to assess inter-rater reliability.
  Results. SpinePose exhibited the following median (interquartile range)
parameter errors: SVA: 2.2(2.3)mm, p=0.93; PT: 1.3(1.2){\deg}, p=0.48; SS:
1.7(2.2){\deg}, p=0.64; PI: 2.2(2.1){\deg}, p=0.24; LL: 2.6(4.0){\deg}, p=0.89;
T1PA: 1.1(0.9){\deg}, p=0.42; and L1PA: 1.4(1.6){\deg}, p=0.49. Model
predictions also exhibited excellent reliability at all parameters (ICC:
0.91-1.0).
  Conclusions. SpinePose accurately predicted spinopelvic parameters with
excellent reliability comparable to fellowship-trained spine surgeons and
neuroradiologists. Utilization of predictive AI tools in spinal imaging can
substantially aid in patient selection and surgical planning.",http://arxiv.org/abs/2402.06185v1,94,18,20,20,18,18
Accurate LoRA-Finetuning Quantization of LLMs via Information Retention,"The LoRA-finetuning quantization of LLMs has been extensively studied to
obtain accurate yet compact LLMs for deployment on resource-constrained
hardware. However, existing methods cause the quantized LLM to severely degrade
and even fail to benefit from the finetuning of LoRA. This paper proposes a
novel IR-QLoRA for pushing quantized LLMs with LoRA to be highly accurate
through information retention. The proposed IR-QLoRA mainly relies on two
technologies derived from the perspective of unified information: (1)
statistics-based Information Calibration Quantization allows the quantized
parameters of LLM to retain original information accurately; (2)
finetuning-based Information Elastic Connection makes LoRA utilizes elastic
representation transformation with diverse information. Comprehensive
experiments show that IR-QLoRA can significantly improve accuracy across LLaMA
and LLaMA2 families under 2-4 bit-widths, e.g., 4- bit LLaMA-7B achieves 1.4%
improvement on MMLU compared with the state-of-the-art methods. The significant
performance gain requires only a tiny 0.31% additional time consumption,
revealing the satisfactory efficiency of our IRQLoRA. We highlight that
IR-QLoRA enjoys excellent versatility, compatible with various frameworks
(e.g., NormalFloat and Integer quantization) and brings general accuracy gains.
The code is available at https://github.com/htqin/ir-qlora.",http://arxiv.org/abs/2402.05445v1,94,20,20,18,18,18
Transfer learning with generative models for object detection on limited datasets,"The availability of data is limited in some fields, especially for object
detection tasks, where it is necessary to have correctly labeled bounding boxes
around each object. A notable example of such data scarcity is found in the
domain of marine biology, where it is useful to develop methods to
automatically detect submarine species for environmental monitoring. To address
this data limitation, the state-of-the-art machine learning strategies employ
two main approaches. The first involves pretraining models on existing datasets
before generalizing to the specific domain of interest. The second strategy is
to create synthetic datasets specifically tailored to the target domain using
methods like copy-paste techniques or ad-hoc simulators. The first strategy
often faces a significant domain shift, while the second demands custom
solutions crafted for the specific task. In response to these challenges, here
we propose a transfer learning framework that is valid for a generic scenario.
In this framework, generated images help to improve the performances of an
object detector in a few-real data regime. This is achieved through a
diffusion-based generative model that was pretrained on large generic datasets,
and is not trained on the task-specific domain. We validate our approach on
object detection tasks, specifically focusing on fishes in an underwater
environment, and on the more common domain of cars in an urban setting. Our
method achieves detection performance comparable to models trained on thousands
of images, using only a few hundreds of input data. Our results pave the way
for new generative AI-based protocols for machine learning applications in
various domains, for instance ranging from geophysics to biology and medicine.",http://arxiv.org/abs/2402.06784v1,94,18,20,20,18,18
